[./config/source.yaml]
[{subscribe map[url:https://raw.githubusercontent.com/ssrsub/ssr/master/v2ray]}]
init getter: subscribe map[url:https://raw.githubusercontent.com/ssrsub/ssr/master/v2ray]
Getter count: 1
DB connect success:  postgres
Do the first crawl...
[proxypool]:##2020/10/26 19:10:07 subscribe.go:39: 请求https://raw.githubusercontent.com/ssrsub/ssr/master/v2ray==的订阅---true---node count=75
[proxypool]:##2020/10/26 19:10:07 vmess.go:241: 45688 的类型-------string
[proxypool]:##2020/10/26 19:10:07 vmess.go:241: 45688 的类型-------string
[proxypool]:##2020/10/26 19:10:07 vmess.go:241: 45688 的类型-------string
[proxypool]:##2020/10/26 19:10:07 vmess.go:241: 45688 的类型-------string
[proxypool]:##2020/10/26 19:10:07 vmess.go:241: 45688 的类型-------string
[proxypool]:##2020/10/26 19:10:07 vmess.go:241: 45688 的类型-------string
[proxypool]:##2020/10/26 19:10:07 vmess.go:241: 45688 的类型-------string
[proxypool]:##2020/10/26 19:10:07 vmess.go:241: 45688 的类型-------string
[proxypool]:##2020/10/26 19:10:07 vmess.go:241: 45688 的类型-------string
[proxypool]:##2020/10/26 19:10:07 vmess.go:241: 45688 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 45688 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 45688 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 45688 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 45688 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 45688 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
[proxypool]:##2020/10/26 19:10:08 vmess.go:241: 443 的类型-------string
